name,description,image,animation_url,external_url,background_color,youtube_url,BODY_PATTERN,HEAD_PATTERN,LEG_PATTERN,MANE,MANE_PATTERN,TAIL,TAIL_PATTERN,LEG_HAIR,LEG_HAIR_PATTERN,WING,HORN,COLOR_SET_NO,AGE,OVERALL,FRONT,STRETCH,WEIGHT,RUNTYPE
#00000010,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000010.png,,https://thirdweb.com,,,Puzzle,None,None,Long,Normal,Normal,Normal,Normal,None,Angel Wing,Unicorn Horn,10,,,,,,
#00000011,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000011.png,,https://thirdweb.com,,,Robot,None,None,Long,Normal,Richness,Stripe,Richness,None,Devil Wing,Deer Antlers,11,,,,,,
#00000012,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000012.png,,https://thirdweb.com,,,Glitch,None,None,Long,Normal,Brush,Gradation,Normal,None,Angel Wing,Unicorn Horn,12,,,,,,
#00000013,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000013.png,,https://thirdweb.com,,,Skeleton,None,None,Long,Normal,Normal,Normal,Richness,None,Devil Wing,Angel Ring,13,,,,,,
#00000014,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000014.png,,https://thirdweb.com,,,Wave,None,None,Long,Normal,Richness,Stripe,Normal,None,Angel Wing,Devil Horns,14,,,,,,
#00000015,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000015.png,,https://thirdweb.com,,,Carnival,None,None,Long,Normal,Brush,Gradation,Richness,None,Devil Wing,Deer Antlers,15,,,,,,
#00000016,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000016.png,,https://thirdweb.com,,,Circuit,None,None,Long,Normal,Normal,Normal,Normal,None,Angel Wing,Unicorn Horn,16,,,,,,
#00000017,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000017.png,,https://thirdweb.com,,,Art Deco,None,None,Long,Normal,Richness,Stripe,Richness,None,Devil Wing,Angel Ring,17,,,,,,
#00000018,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000018.png,,https://thirdweb.com,,,Clock,None,None,Long,Normal,Brush,Gradation,Normal,None,Angel Wing,Devil Horns,18,,,,,,
#00000019,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000019.png,,https://thirdweb.com,,,Dragon,None,None,Long,Normal,Normal,Normal,Richness,None,Devil Wing,Deer Antlers,19,,,,,,
#00000020,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000020.png,,https://thirdweb.com,,,Ribbon,None,None,Long,Normal,Richness,Stripe,Normal,None,Angel Wing,Unicorn Horn,20,,,,,,
#00000021,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000021.png,,https://thirdweb.com,,,Cute Stars,None,None,Long,Normal,Brush,Gradation,Richness,None,Devil Wing,Devil Horns,21,,,,,,
#00000022,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000022.png,,https://thirdweb.com,,,Snowflake,None,None,Long,Normal,Normal,Normal,Normal,None,Angel Wing,Unicorn Horn,22,,,,,,
#00000023,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000023.png,,https://thirdweb.com,,,Luxury,None,None,Long,Normal,Richness,Stripe,Richness,None,Devil Wing,Deer Antlers,23,,,,,,
#00000024,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000024.png,,https://thirdweb.com,,,Speed,None,None,Long,Normal,Brush,Gradation,Normal,None,Angel Wing,Unicorn Horn,24,,,,,,
#00000025,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000025.png,,https://thirdweb.com,,,Fire,None,None,Long,Normal,Normal,Normal,Richness,None,Devil Wing,Angel Ring,25,,,,,,
#00000026,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000026.png,,https://thirdweb.com,,,Lotus,None,None,Long,Normal,Richness,Stripe,Normal,None,Angel Wing,Devil Horns,26,,,,,,
#00000027,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000027.png,,https://thirdweb.com,,,Emboss,None,None,Long,Normal,Brush,Gradation,Richness,None,Devil Wing,Deer Antlers,27,,,,,,
#00000028,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000028.png,,https://thirdweb.com,,,Rococo,None,None,Long,Normal,Normal,Normal,Normal,None,Angel Wing,Unicorn Horn,28,,,,,,
#00000029,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000029.png,,https://thirdweb.com,,,Cyberpunk,None,None,Long,Normal,Richness,Stripe,Richness,None,Devil Wing,Angel Ring,29,,,,,,
#00000030,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000030.png,,https://thirdweb.com,,,Chain,None,None,Long,Normal,Brush,Gradation,Normal,None,Angel Wing,Devil Horns,30,,,,,,
#00000031,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000031.png,,https://thirdweb.com,,,Chessboard,None,None,Long,Normal,Normal,Normal,Richness,None,Devil Wing,Deer Antlers,31,,,,,,
#00000032,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000032.png,,https://thirdweb.com,,,Brushed,None,None,Long,Normal,Richness,Stripe,Normal,None,Angel Wing,Unicorn Horn,32,,,,,,
#00000033,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000033.png,,https://thirdweb.com,,,Puzzle,None,None,Long,Normal,Brush,Gradation,Richness,None,Devil Wing,Devil Horns,33,,,,,,
#00000034,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000034.png,,https://thirdweb.com,,,Robot,None,None,Long,Normal,Normal,Normal,Normal,None,Angel Wing,Unicorn Horn,34,,,,,,
#00000035,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000035.png,,https://thirdweb.com,,,Glitch,None,None,Long,Normal,Richness,Stripe,Richness,None,Devil Wing,Deer Antlers,35,,,,,,
#00000036,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000036.png,,https://thirdweb.com,,,Skeleton,None,None,Long,Normal,Brush,Gradation,Normal,None,Angel Wing,Unicorn Horn,36,,,,,,
#00000037,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000037.png,,https://thirdweb.com,,,Wave,None,None,Long,Normal,Normal,Normal,Richness,None,Devil Wing,Angel Ring,37,,,,,,
#00000038,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000038.png,,https://thirdweb.com,,,Carnival,None,None,Long,Normal,Richness,Stripe,Normal,None,Angel Wing,Devil Horns,38,,,,,,
#00000039,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000039.png,,https://thirdweb.com,,,Circuit,None,None,Long,Normal,Brush,Gradation,Richness,None,Devil Wing,Deer Antlers,39,,,,,,
#00000040,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000040.png,,https://thirdweb.com,,,Art Deco,None,None,Long,Normal,Normal,Normal,Normal,None,Angel Wing,Unicorn Horn,40,,,,,,
#00000041,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000041.png,,https://thirdweb.com,,,Clock,None,None,Long,Normal,Richness,Stripe,Richness,None,Devil Wing,Angel Ring,41,,,,,,
#00000042,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000042.png,,https://thirdweb.com,,,Dragon,None,None,Long,Normal,Brush,Gradation,Normal,None,Angel Wing,Devil Horns,42,,,,,,
#00000043,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000043.png,,https://thirdweb.com,,,Ribbon,None,None,Long,Normal,Normal,Normal,Richness,None,Devil Wing,Deer Antlers,43,,,,,,
#00000044,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000044.png,,https://thirdweb.com,,,Cute Stars,None,None,Long,Normal,Richness,Stripe,Normal,None,Angel Wing,Unicorn Horn,44,,,,,,
#00000045,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000045.png,,https://thirdweb.com,,,Snowflake,None,None,Long,Normal,Brush,Gradation,Richness,None,Devil Wing,Devil Horns,45,,,,,,
#00000046,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000046.png,,https://thirdweb.com,,,Luxury,None,None,Long,Normal,Normal,Normal,Normal,None,Angel Wing,Unicorn Horn,46,,,,,,
#00000047,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000047.png,,https://thirdweb.com,,,Speed,None,None,Long,Normal,Richness,Stripe,Richness,None,Devil Wing,Deer Antlers,47,,,,,,
#00000048,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000048.png,,https://thirdweb.com,,,Fire,None,None,Long,Normal,Brush,Gradation,Normal,None,Angel Wing,Unicorn Horn,48,,,,,,
#00000049,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000049.png,,https://thirdweb.com,,,Lotus,None,None,Long,Normal,Normal,Normal,Richness,None,Devil Wing,Angel Ring,49,,,,,,
#00000050,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000050.png,,https://thirdweb.com,,,Emboss,None,None,Long,Normal,Richness,Stripe,Normal,None,Angel Wing,Devil Horns,50,,,,,,
#00000051,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000051.png,,https://thirdweb.com,,,Rococo,None,None,Long,Normal,Brush,Gradation,Richness,None,Devil Wing,Deer Antlers,51,,,,,,
#00000052,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000052.png,,https://thirdweb.com,,,Cyberpunk,None,None,Long,Normal,Normal,Normal,Normal,None,Angel Wing,Unicorn Horn,52,,,,,,
#00000053,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000053.png,,https://thirdweb.com,,,Chain,None,None,Long,Normal,Richness,Stripe,Richness,None,Devil Wing,Angel Ring,53,,,,,,
#00000054,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000054.png,,https://thirdweb.com,,,Chessboard,None,None,Long,Normal,Brush,Gradation,Normal,None,Angel Wing,Devil Horns,54,,,,,,
#00000055,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000055.png,,https://thirdweb.com,,,Brushed,None,None,Long,Normal,Normal,Normal,Richness,None,Devil Wing,Deer Antlers,55,,,,,,
#00000056,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000056.png,,https://thirdweb.com,,,Puzzle,None,None,Long,Normal,Richness,Stripe,Normal,None,Angel Wing,Unicorn Horn,56,,,,,,
#00000057,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000057.png,,https://thirdweb.com,,,Robot,None,None,Long,Normal,Brush,Gradation,Richness,None,Devil Wing,Devil Horns,57,,,,,,
#00000058,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000058.png,,https://thirdweb.com,,,Glitch,None,None,Long,Normal,Normal,Normal,Normal,None,Angel Wing,Unicorn Horn,58,,,,,,
#00000059,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000059.png,,https://thirdweb.com,,,Skeleton,None,None,Long,Normal,Richness,Stripe,Richness,None,Devil Wing,Deer Antlers,59,,,,,,
#00000060,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000060.png,,https://thirdweb.com,,,Wave,None,None,Long,Normal,Brush,Gradation,Normal,None,Angel Wing,Unicorn Horn,60,,,,,,
#00000061,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000061.png,,https://thirdweb.com,,,Carnival,None,None,Long,Normal,Normal,Normal,Richness,None,Devil Wing,Angel Ring,61,,,,,,
#00000062,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000062.png,,https://thirdweb.com,,,Circuit,None,None,Long,Normal,Richness,Stripe,Normal,None,Angel Wing,Devil Horns,62,,,,,,
#00000063,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000063.png,,https://thirdweb.com,,,Art Deco,None,None,Long,Normal,Brush,Gradation,Richness,None,Devil Wing,Deer Antlers,63,,,,,,
#00000064,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000064.png,,https://thirdweb.com,,,Clock,None,None,Long,Normal,Normal,Normal,Normal,None,Angel Wing,Unicorn Horn,64,,,,,,
#00000065,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000065.png,,https://thirdweb.com,,,Dragon,None,None,Long,Normal,Richness,Stripe,Richness,None,Devil Wing,Angel Ring,65,,,,,,
#00000066,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000066.png,,https://thirdweb.com,,,Ribbon,None,None,Long,Normal,Brush,Gradation,Normal,None,Angel Wing,Devil Horns,66,,,,,,
#00000067,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000067.png,,https://thirdweb.com,,,Cute Stars,None,None,Long,Normal,Normal,Normal,Richness,None,Devil Wing,Deer Antlers,67,,,,,,
#00000068,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000068.png,,https://thirdweb.com,,,Snowflake,None,None,Long,Normal,Richness,Stripe,Normal,None,Angel Wing,Unicorn Horn,68,,,,,,
#00000069,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000069.png,,https://thirdweb.com,,,Luxury,None,None,Long,Normal,Brush,Gradation,Richness,None,Devil Wing,Devil Horns,69,,,,,,
#00000070,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000070.png,,https://thirdweb.com,,,Speed,None,None,Long,Normal,Normal,Normal,Normal,None,Angel Wing,Unicorn Horn,70,,,,,,
#00000071,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000071.png,,https://thirdweb.com,,,Fire,None,None,Long,Normal,Richness,Stripe,Richness,None,Devil Wing,Deer Antlers,71,,,,,,
#00000072,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000072.png,,https://thirdweb.com,,,Lotus,None,None,Long,Normal,Brush,Gradation,Normal,None,Angel Wing,Unicorn Horn,72,,,,,,
#00000073,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000073.png,,https://thirdweb.com,,,Emboss,None,None,Long,Normal,Normal,Normal,Richness,None,Devil Wing,Angel Ring,73,,,,,,
#00000074,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000074.png,,https://thirdweb.com,,,Rococo,None,None,Long,Normal,Richness,Stripe,Normal,None,Angel Wing,Devil Horns,74,,,,,,
#00000075,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000075.png,,https://thirdweb.com,,,Cyberpunk,None,None,Long,Normal,Brush,Gradation,Richness,None,Devil Wing,Deer Antlers,75,,,,,,
#00000076,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000076.png,,https://thirdweb.com,,,Chain,None,None,Long,Normal,Normal,Normal,Normal,None,Angel Wing,Unicorn Horn,76,,,,,,
#00000077,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000077.png,,https://thirdweb.com,,,Chessboard,None,None,Long,Normal,Richness,Stripe,Richness,None,Devil Wing,Angel Ring,77,,,,,,
#00000078,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000078.png,,https://thirdweb.com,,,Brushed,None,None,Long,Normal,Brush,Gradation,Normal,None,Angel Wing,Devil Horns,78,,,,,,
#00000079,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000079.png,,https://thirdweb.com,,,Puzzle,None,None,Long,Normal,Normal,Normal,Richness,None,Devil Wing,Deer Antlers,79,,,,,,
#00000080,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000080.png,,https://thirdweb.com,,,Robot,None,None,Long,Normal,Richness,Stripe,Normal,None,Angel Wing,Unicorn Horn,80,,,,,,
#00000081,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000081.png,,https://thirdweb.com,,,Glitch,None,None,Long,Normal,Brush,Gradation,Richness,None,Devil Wing,Devil Horns,81,,,,,,
#00000082,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000082.png,,https://thirdweb.com,,,Skeleton,None,None,Long,Normal,Normal,Normal,Normal,None,Angel Wing,Unicorn Horn,82,,,,,,
#00000083,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000083.png,,https://thirdweb.com,,,Wave,None,None,Long,Normal,Richness,Stripe,Richness,None,Devil Wing,Deer Antlers,83,,,,,,
#00000084,"Granderby NFT Horses
Enjoy amazing horse racing game.
STADIUM - Jockey Club",https://dshujxhbbpmz18304035.gcdn.ntruss.com/nft/HV/hrs/Hrs_00000084.png,,https://thirdweb.com,,,Carnival,None,None,Long,Normal,Brush,Gradation,Normal,None,Angel Wing,Unicorn Horn,84,,,,,,
